,State,Year,Quater,Transacion_type,Transacion_count,Transacion_amount
30,andaman-&-nicobar-islands,2019,3,Recharge & bill payments,16219,8171737.705916681
31,andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,13767,101079821.10344616
32,andaman-&-nicobar-islands,2019,3,Merchant payments,3519,4428734.574846684
33,andaman-&-nicobar-islands,2019,3,Financial Services,50,158857.94315586874
34,andaman-&-nicobar-islands,2019,3,Others,215,232624.75992853564
35,andaman-&-nicobar-islands,2019,4,Peer-to-peer payments,18128,121493224.30754511
36,andaman-&-nicobar-islands,2019,4,Recharge & bill payments,13851,9538690.916424634
37,andaman-&-nicobar-islands,2019,4,Merchant payments,2920,5247500.487902376
38,andaman-&-nicobar-islands,2019,4,Financial Services,60,295937.2110898865
39,andaman-&-nicobar-islands,2019,4,Others,200,263177.5944158883
40,andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,18324,142332401.79234773
41,andaman-&-nicobar-islands,2020,1,Recharge & bill payments,18268,10850414.023977457
42,andaman-&-nicobar-islands,2020,1,Merchant payments,4424,7752871.558217709
43,andaman-&-nicobar-islands,2020,1,Financial Services,66,208231.73071652642
44,andaman-&-nicobar-islands,2020,1,Others,216,332393.19201521645
45,andaman-&-nicobar-islands,2020,2,Recharge & bill payments,38125,17659622.73418829
46,andaman-&-nicobar-islands,2020,2,Peer-to-peer payments,20303,141728757.73517442
47,andaman-&-nicobar-islands,2020,2,Merchant payments,4004,9236375.740471343
48,andaman-&-nicobar-islands,2020,2,Financial Services,175,706932.1397115812
49,andaman-&-nicobar-islands,2020,2,Others,355,313313.0646014327
50,andaman-&-nicobar-islands,2020,3,Recharge & bill payments,59310,24756220.875469353
51,andaman-&-nicobar-islands,2020,3,Peer-to-peer payments,40697,289078946.7312394
52,andaman-&-nicobar-islands,2020,3,Merchant payments,16096,22682992.238478824
53,andaman-&-nicobar-islands,2020,3,Financial Services,572,961836.7129860274
54,andaman-&-nicobar-islands,2020,3,Others,808,539449.7721868362
55,andaman-&-nicobar-islands,2020,4,Peer-to-peer payments,81439,533316526.1814983
56,andaman-&-nicobar-islands,2020,4,Recharge & bill payments,80811,33710030.534383245
57,andaman-&-nicobar-islands,2020,4,Merchant payments,59391,56867468.940003954
58,andaman-&-nicobar-islands,2020,4,Financial Services,965,1880546.9672370641
59,andaman-&-nicobar-islands,2020,4,Others,1925,1508083.6917299272
60,andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,105458,665391395.715478
61,andaman-&-nicobar-islands,2021,1,Recharge & bill payments,84119,37160922.86506996
62,andaman-&-nicobar-islands,2021,1,Merchant payments,53090,78606979.05751458
63,andaman-&-nicobar-islands,2021,1,Financial Services,884,1469351.0852598653
64,andaman-&-nicobar-islands,2021,1,Others,1201,1077918.666433228
65,andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,132772,748382044.7707307
66,andaman-&-nicobar-islands,2021,2,Recharge & bill payments,120911,43691961.26275121
67,andaman-&-nicobar-islands,2021,2,Merchant payments,85143,103707408.50908463
68,andaman-&-nicobar-islands,2021,2,Financial Services,960,2038521.5136710338
69,andaman-&-nicobar-islands,2021,2,Others,1628,1327080.0560584562
70,andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,1077787837.1562996
71,andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,51243450.85925055
72,andaman-&-nicobar-islands,2021,3,Merchant payments,118340,176991328.21761328
73,andaman-&-nicobar-islands,2021,3,Financial Services,990,2351013.441729573
74,andaman-&-nicobar-islands,2021,3,Others,2103,1650766.1267105162
75,andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544932663.2744582
76,andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842314.62433755
77,andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243518.11464358
78,andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137965.167474068
79,andaman-&-nicobar-islands,2021,4,Others,2855,2453640.142743944
80,andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682328505.7254477
81,andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370091558.68373305
82,andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300133.66101266
83,andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869682.0229511866
84,andaman-&-nicobar-islands,2022,1,Others,2643,2440321.9820225406
85,andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510838980.9061847
86,andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088309073.4552848
87,andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232936.61795366
88,andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089862.3927160464
89,andaman-&-nicobar-islands,2022,2,Others,3108,2449496.7081265687
90,andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438186.296541
91,andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514535154.56483
92,andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748065.62714244
93,andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166304.9779766416
94,andaman-&-nicobar-islands,2022,3,Others,3477,2744060.670897343
95,andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365300.6585041
96,andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630584.8271313
97,andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037119.66941178
98,andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533987.2301130476
99,andaman-&-nicobar-islands,2022,4,Others,3692,3107412.043626394
100,andhra-pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698562
101,andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.178782
102,andhra-pradesh,2018,1,Merchant payments,362672,247297640.24000686
103,andhra-pradesh,2018,1,Financial Services,204305,44808449.7639544
104,andhra-pradesh,2018,1,Others,395514,287626042.970705
105,andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598591488.4880352
106,andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.8953
107,andhra-pradesh,2018,2,Merchant payments,604847,436785223.86032957
108,andhra-pradesh,2018,2,Financial Services,225621,68952114.81374599
109,andhra-pradesh,2018,2,Others,322063,328092346.575651
110,andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.668724
111,andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949098146.8941927
112,andhra-pradesh,2018,3,Merchant payments,1225416,685277254.5076212
113,andhra-pradesh,2018,3,Financial Services,380324,60790077.57437308
114,andhra-pradesh,2018,3,Others,348725,284248675.5700202
115,andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.13608
116,andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957
117,andhra-pradesh,2018,4,Merchant payments,2622131,1671585888.568256
118,andhra-pradesh,2018,4,Financial Services,400837,57178116.40322068
119,andhra-pradesh,2018,4,Others,389411,315211361.26249415
120,andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595
121,andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771377
122,andhra-pradesh,2019,1,Merchant payments,5043682,2423536770.3706346
123,andhra-pradesh,2019,1,Financial Services,416325,47150177.52982048
124,andhra-pradesh,2019,1,Others,361263,284937624.5393019
125,andhra-pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.47021
126,andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345387.9101095
127,andhra-pradesh,2019,2,Merchant payments,9226537,4613405202.681959
128,andhra-pradesh,2019,2,Financial Services,145310,26626696.771042537
129,andhra-pradesh,2019,2,Others,448802,361492238.3966455
130,andhra-pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.51532
131,andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984676.598906
132,andhra-pradesh,2019,3,Merchant payments,16581787,7887394038.066369
133,andhra-pradesh,2019,3,Financial Services,122270,29778183.027080443
134,andhra-pradesh,2019,3,Others,413437,298142027.58625776
135,andhra-pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.68753
136,andhra-pradesh,2019,4,Merchant payments,25122370,13476303367.50486
137,andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999
138,andhra-pradesh,2019,4,Financial Services,105662,26796571.745749153
139,andhra-pradesh,2019,4,Others,338672,216496893.16102877
140,andhra-pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.04755
141,andhra-pradesh,2020,1,Merchant payments,31408022,18603161784.496994
142,andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530777.973532
143,andhra-pradesh,2020,1,Financial Services,75238,43739133.169823855
144,andhra-pradesh,2020,1,Others,292310,188228538.37489766
145,andhra-pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907
146,andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573467
147,andhra-pradesh,2020,2,Merchant payments,29976765,22625596525.44269
148,andhra-pradesh,2020,2,Financial Services,140941,145274999.15679634
149,andhra-pradesh,2020,2,Others,176241,90087654.60009979
150,andhra-pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32056
151,andhra-pradesh,2020,3,Merchant payments,54055557,40739580213.86052
152,andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104674.827175
153,andhra-pradesh,2020,3,Financial Services,243088,256074924.7187529
154,andhra-pradesh,2020,3,Others,312329,151582519.18136686
155,andhra-pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7708
156,andhra-pradesh,2020,4,Merchant payments,86581460,66654048149.95168
157,andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337211.557747
158,andhra-pradesh,2020,4,Financial Services,265470,305168772.45601684
159,andhra-pradesh,2020,4,Others,457527,306853355.59473807
160,andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018
161,andhra-pradesh,2021,1,Merchant payments,97920281,70813192713.43477
162,andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14482
163,andhra-pradesh,2021,1,Financial Services,225355,270313028.48452014
164,andhra-pradesh,2021,1,Others,347907,272546457.5502677
165,andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439
166,andhra-pradesh,2021,2,Merchant payments,112875274,88512429436.91248
167,andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106976
168,andhra-pradesh,2021,2,Financial Services,243237,265483044.40124667
169,andhra-pradesh,2021,2,Others,406842,308302224.3856007
170,andhra-pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307
171,andhra-pradesh,2021,3,Merchant payments,158290953,118164377968.16754
172,andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361
173,andhra-pradesh,2021,3,Financial Services,211171,297239697.83073866
174,andhra-pradesh,2021,3,Others,547759,403948275.56756073
175,andhra-pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1282
176,andhra-pradesh,2021,4,Merchant payments,207538904,152883933596.5386
177,andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713.985794
178,andhra-pradesh,2021,4,Financial Services,243951,332740108.6635881
179,andhra-pradesh,2021,4,Others,701856,545223415.6638832
180,andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.4781
181,andhra-pradesh,2022,1,Merchant payments,242031836,169419685917.19562
182,andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001
183,andhra-pradesh,2022,1,Financial Services,231651,324358965.11859065
184,andhra-pradesh,2022,1,Others,627694,474382234.25397474
185,andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.7114
186,andhra-pradesh,2022,2,Merchant payments,292530048,205433660654.20898
187,andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145
188,andhra-pradesh,2022,2,Financial Services,192751,245783011.04455262
189,andhra-pradesh,2022,2,Others,441925,357036084.9071137
190,andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.7397
191,andhra-pradesh,2022,3,Merchant payments,291033653,202910820650.0824
192,andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322
193,andhra-pradesh,2022,3,Financial Services,187190,239347241.54655045
194,andhra-pradesh,2022,3,Others,362484,323951101.5715289
195,andhra-pradesh,2022,4,Merchant payments,321632104,211898851397.09848
196,andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112
197,andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902
198,andhra-pradesh,2022,4,Financial Services,206459,250596592.06465048
199,andhra-pradesh,2022,4,Others,345658,339211363.0027188
200,arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338
201,arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889682.72418305
202,arunachal-pradesh,2018,1,Merchant payments,1042,2420374.1905855755
203,arunachal-pradesh,2018,1,Financial Services,416,58893.76201533088
204,arunachal-pradesh,2018,1,Others,1990,1834252.8176908877
205,arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468878.537107183
206,arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576281.19464755
207,arunachal-pradesh,2018,2,Merchant payments,2378,4718953.439561011
208,arunachal-pradesh,2018,2,Financial Services,559,363761.80159549194
209,arunachal-pradesh,2018,2,Others,2043,1842317.3691352482
210,arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997565.906016497
211,arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106303.45342577
212,arunachal-pradesh,2018,3,Merchant payments,4738,5505694.567913429
213,arunachal-pradesh,2018,3,Financial Services,507,72133.845254878
214,arunachal-pradesh,2018,3,Others,2039,2044708.9687807972
215,arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662691.882313278
216,arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831493.2328036
217,arunachal-pradesh,2018,4,Merchant payments,7726,11998974.1040326
218,arunachal-pradesh,2018,4,Financial Services,561,100597.90379906222
219,arunachal-pradesh,2018,4,Others,2222,2446271.9688117937
220,arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796894.998233315
221,arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317
222,arunachal-pradesh,2019,1,Merchant payments,9214,11727218.401334248
223,arunachal-pradesh,2019,1,Financial Services,256,140622.87093631705
224,arunachal-pradesh,2019,1,Others,2239,2730548.5978140826
225,arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234
226,arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435
227,arunachal-pradesh,2019,2,Merchant payments,16828,13955724.130712911
228,arunachal-pradesh,2019,2,Financial Services,267,160660.8821362781
229,arunachal-pradesh,2019,2,Others,3046,3880742.524023137
230,arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842
231,arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606
232,arunachal-pradesh,2019,3,Merchant payments,16900,17178248.07427002
233,arunachal-pradesh,2019,3,Financial Services,864,64089.11350267195
234,arunachal-pradesh,2019,3,Others,2758,3419197.4177385764
235,arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433
236,arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100137447.9340453
237,arunachal-pradesh,2019,4,Merchant payments,19769,23192271.691576812
238,arunachal-pradesh,2019,4,Financial Services,314,305379.7987782319
239,arunachal-pradesh,2019,4,Others,2376,3421174.01227797
240,arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011654.77474582
241,arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263912288.4066367
242,arunachal-pradesh,2020,1,Merchant payments,31181,28553052.133918796
243,arunachal-pradesh,2020,1,Financial Services,470,337812.94816169393
244,arunachal-pradesh,2020,1,Others,2261,2943873.0666838237
245,arunachal-pradesh,2020,2,Recharge & bill payments,522495,145198528.22961134
246,arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630654426.0441835
247,arunachal-pradesh,2020,2,Merchant payments,35169,46446966.612447515
248,arunachal-pradesh,2020,2,Financial Services,1310,2655507.6964110374
249,arunachal-pradesh,2020,2,Others,1939,1761404.4023099935
250,arunachal-pradesh,2020,3,Recharge & bill payments,514907,153463816.21184397
251,arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361603431.37578
252,arunachal-pradesh,2020,3,Merchant payments,72736,88145178.69272713
253,arunachal-pradesh,2020,3,Financial Services,1761,4030599.9171272423
254,arunachal-pradesh,2020,3,Others,3005,2695539.3607389224
255,arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254744938.4105625
256,arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389181.21743062
257,arunachal-pradesh,2020,4,Merchant payments,167387,156682926.02384603
258,arunachal-pradesh,2020,4,Financial Services,1749,2391651.8783250954
259,arunachal-pradesh,2020,4,Others,4079,4055324.315454754
260,arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460488558.9436507
261,arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358376.9003836
262,arunachal-pradesh,2021,1,Merchant payments,155966,204958020.0891498
263,arunachal-pradesh,2021,1,Financial Services,1558,2672460.4740365944
264,arunachal-pradesh,2021,1,Others,3074,3301662.6094231335
265,arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960152.0755496
266,arunachal-pradesh,2021,2,Recharge & bill payments,556680,165579844.25105897
267,arunachal-pradesh,2021,2,Merchant payments,243375,283709438.5363142
268,arunachal-pradesh,2021,2,Financial Services,1582,2761076.7934988844
269,arunachal-pradesh,2021,2,Others,3755,3415105.3379601175
270,arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033603845.032885
271,arunachal-pradesh,2021,3,Recharge & bill payments,600102,187390578.30403775
272,arunachal-pradesh,2021,3,Merchant payments,314658,449869060.7842621
273,arunachal-pradesh,2021,3,Financial Services,1934,3348547.8272713376
274,arunachal-pradesh,2021,3,Others,4185,3912143.3503634185
275,arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.120082
276,arunachal-pradesh,2021,4,Recharge & bill payments,633248,207784816.33218512
277,arunachal-pradesh,2021,4,Merchant payments,521447,704195694.9939187
278,arunachal-pradesh,2021,4,Financial Services,2386,3933557.2795471298
279,arunachal-pradesh,2021,4,Others,5901,4862905.885615055
280,arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.45945
281,arunachal-pradesh,2022,1,Merchant payments,720803,917155358.7177179
282,arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933129.00412333
283,arunachal-pradesh,2022,1,Financial Services,3053,3359625.792926075
284,arunachal-pradesh,2022,1,Others,6052,5002264.113148138
285,arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.687715
286,arunachal-pradesh,2022,2,Merchant payments,1108353,1255513517.3639429
287,arunachal-pradesh,2022,2,Recharge & bill payments,688770,241162643.19480157
288,arunachal-pradesh,2022,2,Financial Services,2466,4063469.0998270046
289,arunachal-pradesh,2022,2,Others,5768,3864269.879579009
290,arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.274204
291,arunachal-pradesh,2022,3,Merchant payments,1316326,1413247143.4889917
292,arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448083.80779752
293,arunachal-pradesh,2022,3,Financial Services,1997,4763324.776043448
294,arunachal-pradesh,2022,3,Others,4687,3224948.7015704075
295,arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.67791
296,arunachal-pradesh,2022,4,Merchant payments,1704968,1669602212.9174638
297,arunachal-pradesh,2022,4,Recharge & bill payments,669151,239412553.61214688
298,arunachal-pradesh,2022,4,Financial Services,2617,3785469.3993366556
299,arunachal-pradesh,2022,4,Others,4838,4020773.8953960314
300,assam,2018,1,Recharge & bill payments,632092,93491181.14056379
301,assam,2018,1,Peer-to-peer payments,318025,993525195.9818655
302,assam,2018,1,Merchant payments,40482,34501622.89266755
303,assam,2018,1,Financial Services,18172,4936862.200688562
304,assam,2018,1,Others,48110,31349593.99668264
305,assam,2018,2,Recharge & bill payments,984160,174427478.21340805
306,assam,2018,2,Peer-to-peer payments,530781,2064314053.1339972
307,assam,2018,2,Merchant payments,79307,73366344.80739225
308,assam,2018,2,Financial Services,22773,7051504.657611102
309,assam,2018,2,Others,46852,31425754.725386057
310,assam,2018,3,Recharge & bill payments,1275136,254569069.32411742
311,assam,2018,3,Peer-to-peer payments,843571,3424136709.5088205
312,assam,2018,3,Merchant payments,159532,96783839.37466942
313,assam,2018,3,Financial Services,22677,4741123.821880115
314,assam,2018,3,Others,50935,30904247.884785894
315,assam,2018,4,Recharge & bill payments,1703488,317661277.3470997
316,assam,2018,4,Peer-to-peer payments,1279089,5284776455.070784
317,assam,2018,4,Merchant payments,667293,240563395.2777939
318,assam,2018,4,Financial Services,28035,6331912.52655252
319,assam,2018,4,Others,56267,38689818.79087821
320,assam,2019,1,Recharge & bill payments,1993220,400281677.94382846
321,assam,2019,1,Peer-to-peer payments,1976310,7291433300.700247
322,assam,2019,1,Merchant payments,494871,266644645.74929428
323,assam,2019,1,Financial Services,20162,4612454.1127945455
324,assam,2019,1,Others,48442,39127457.944687635
325,assam,2019,2,Recharge & bill payments,2512932,539315772.8606573
326,assam,2019,2,Peer-to-peer payments,2293770,10035232820.852964
327,assam,2019,2,Merchant payments,573646,326844709.5879724
328,assam,2019,2,Financial Services,13654,4037222.414240564
329,assam,2019,2,Others,60927,49538663.41037582
330,assam,2019,3,Peer-to-peer payments,2713539,11835800855.176552
331,assam,2019,3,Recharge & bill payments,2645302,639885372.7480905
332,assam,2019,3,Merchant payments,513728,421380275.4207429
333,assam,2019,3,Financial Services,8606,6403456.344768786
334,assam,2019,3,Others,61396,46973660.73634353
335,assam,2019,4,Peer-to-peer payments,3222143,14083346879.361855
336,assam,2019,4,Recharge & bill payments,2937800,704118873.972094
337,assam,2019,4,Merchant payments,544053,456318130.082201
338,assam,2019,4,Financial Services,9621,3492255.0860687294
339,assam,2019,4,Others,46893,34707757.009855896
340,assam,2020,1,Peer-to-peer payments,4058740,18977446151.768826
341,assam,2020,1,Recharge & bill payments,3897975,971722606.1579468
342,assam,2020,1,Merchant payments,792646,675423852.9512749
343,assam,2020,1,Financial Services,10173,7054325.507515656
344,assam,2020,1,Others,49326,36781411.34368035
345,assam,2020,2,Recharge & bill payments,6045321,1612522828.7163475
346,assam,2020,2,Peer-to-peer payments,3648386,17358374071.26616
347,assam,2020,2,Merchant payments,742400,749018053.2400584
348,assam,2020,2,Financial Services,19814,18130004.687672265
349,assam,2020,2,Others,49278,28255168.009208795
350,assam,2020,3,Peer-to-peer payments,5637893,26646565777.43919
351,assam,2020,3,Recharge & bill payments,5292154,1627282415.9451878
352,assam,2020,3,Merchant payments,1383230,1492484153.3873158
353,assam,2020,3,Financial Services,24954,28452966.026372254
354,assam,2020,3,Others,59480,36605946.74600269
355,assam,2020,4,Peer-to-peer payments,7538478,36013292450.814384
356,assam,2020,4,Recharge & bill payments,5383505,1662189124.4177454
357,assam,2020,4,Merchant payments,2392184,2466913305.59039
358,assam,2020,4,Financial Services,29764,32314809.975261033
359,assam,2020,4,Others,79523,51901628.46643049
360,assam,2021,1,Peer-to-peer payments,9449096,45476079487.10464
361,assam,2021,1,Recharge & bill payments,6494111,2103017761.546533
362,assam,2021,1,Merchant payments,3459132,3657261586.2001615
363,assam,2021,1,Financial Services,34049,41291047.3832124
364,assam,2021,1,Others,75672,48814663.88782827
365,assam,2021,2,Peer-to-peer payments,11668399,51521387890.61253
366,assam,2021,2,Recharge & bill payments,9058005,2657676415.2458973
367,assam,2021,2,Merchant payments,4562669,4914753140.040101
368,assam,2021,2,Financial Services,49671,46106001.498141706
369,assam,2021,2,Others,94161,52549929.267157935
370,assam,2021,3,Peer-to-peer payments,15617592,64131823895.235466
371,assam,2021,3,Recharge & bill payments,10284267,3248364164.1984267
372,assam,2021,3,Merchant payments,7431371,8208706348.034584
373,assam,2021,3,Financial Services,39479,43889820.495989755
374,assam,2021,3,Others,131732,67715045.34317216
375,assam,2021,4,Peer-to-peer payments,21393962,86801625126.53499
376,assam,2021,4,Merchant payments,12895755,13378765005.905182
377,assam,2021,4,Recharge & bill payments,11484376,3842004488.3733196
378,assam,2021,4,Financial Services,60724,65456475.826191336
379,assam,2021,4,Others,185544,97116796.57575196
380,assam,2022,1,Peer-to-peer payments,27156085,108855352347.44865
381,assam,2022,1,Merchant payments,19011883,18833132506.022354
382,assam,2022,1,Recharge & bill payments,12474674,4424035840.366192
383,assam,2022,1,Financial Services,68432,73257991.39188361
384,assam,2022,1,Others,178812,94659207.47378007
385,assam,2022,2,Peer-to-peer payments,33879530,123829913105.31845
386,assam,2022,2,Merchant payments,28377534,24333260089.826862
387,assam,2022,2,Recharge & bill payments,13858113,4814695679.877083
388,assam,2022,2,Financial Services,50785,55549153.74320389
389,assam,2022,2,Others,168763,77624058.0178437
390,assam,2022,3,Peer-to-peer payments,37000266,127264703851.96637
391,assam,2022,3,Merchant payments,34935460,28789992307.161205
392,assam,2022,3,Recharge & bill payments,13974568,5295136932.037907
393,assam,2022,3,Financial Services,65066,62882386.459812224
394,assam,2022,3,Others,138451,76363577.27323309
395,assam,2022,4,Peer-to-peer payments,44828832,150693397669.18314
396,assam,2022,4,Merchant payments,43605784,36033810141.574844
397,assam,2022,4,Recharge & bill payments,15344794,5773980885.270762
398,assam,2022,4,Financial Services,74414,75960367.91633397
399,assam,2022,4,Others,127443,76370123.60102956
400,bihar,2018,1,Recharge & bill payments,3159922,375559206.7727593
